genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[10752, 28, 12, 18, 53]",22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,115.0,100000000.0,94882889.0,tt0947810,0.0,"['Universal Pictures', 'StudioCanal', 'Relativity Media', 'Working Title Films', 'DENTSU']"
"[28, 12, 16]",30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277,75.0,0.0,0.0,tt1494772,0.0,"['DC Comics', 'Warner Premiere', 'DC Entertainment']"
"[18, 10749]",23169,en,Remember Me,11.453,2010-03-12,Remember Me,7.1,2079,113.0,16000000.0,56032889.0,tt1403981,0.0,['Summit Entertainment']
"[12, 18, 53]",44115,en,127 Hours,11.435,2010-11-05,127 Hours,7.0,4469,94.0,18000000.0,35692920.0,tt1542344,0.0,"['Fox Searchlight Pictures', 'Pathé!', 'Everest Entertainment', 'HandMade Films', 'Warner Bros. Pictures', 'Film4 Productions', 'Cloud Eight Films']"
"[9648, 14, 35, 12]",47533,de,Scooby-Doo! Curse of the Lake Monster,11.372,2010-10-15,Scooby-Doo! Curse of the Lake Monster,5.6,171,79.0,0.0,0.0,tt1618435,0.0,"['Telvan Productions', 'Atlas Entertainment', 'Nine/8 Entertainment']"
"[35, 27]",43593,en,Piranha 3D,11.302,2010-08-20,Piranha 3D,5.3,1029,88.0,24000000.0,83188165.0,tt0464154,0.0,"['The Weinstein Company', 'Atmosphere Entertainment MM', 'Chako Film Company', 'Dimension Films', 'Intellectual Properties Worldwide', 'Aja / Levasseur Productions']"
"[12, 18, 28, 14]",37861,en,Valhalla Rising,11.26,2010-07-16,Valhalla Rising,6.0,582,93.0,5641880.0,30638.0,tt0862467,0.0,"['BBC Films', 'La Belle Allee Productions', 'NWR Film Productions', 'One Eye Production', 'Savalas Audio Post-Production', 'Nimbus Film']"
"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,2010-01-29,Edge of Darkness,6.3,794,117.0,80000000.0,81126522.0,tt1226273,0.0,"['Icon Productions', 'GK Films', 'BBC Films', 'Warner Bros. Pictures']"
"[14, 12, 28, 9648]",35552,fr,Les Aventures extraordinaires d'Adèle Blanc-Sec,11.220999999999998,2010-04-14,The Extraordinary Adventures of Adèle Blanc-Sec,6.0,671,105.0,25000000.0,34100000.0,tt1179025,0.0,"['EuropaCorp', 'Apipoulaï', 'TF1 Films Production']"
"[35, 10749]",32856,en,Valentine's Day,11.187000000000001,2010-02-11,Valentine's Day,5.8,1907,125.0,52000000.0,216485654.0,tt0817230,0.0,"['Karz Entertainment', 'New Line Cinema', 'Rice Films', 'ESPN']"
